Plugin,Plugin Name,Family,Severity,VPR,IP Address,ACR,AES,NetBIOS Name,DNS Name,MAC Address,Port,Protocol,Repository
1187734,"2.2.23 (L1) Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1187735,"2.2.24 (L1) Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207269,18.10.18.4 (L1) Ensure 'Enable App Installer Local Archive Malware Scan Override' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207314,18.10.58.2 (L1) Ensure 'Turn on Basic feed authentication over HTTP' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207349,18.6.4.1 (L1) Ensure 'Configure multicast DNS (mDNS) protocol' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207676,18.10.18.5 (L1) Ensure 'Enable App Installer Microsoft Store Source Certificate Validation Bypass' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207678,18.10.29.4 (L1) Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207681,18.10.4.2 (L1) Ensure 'Not allow per-user unsigned packages to install by default (requires explicitly allow per install)' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207709,18.6.7.1 (L1) Ensure 'Audit client does not support encryption' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207710,18.6.7.2 (L1) Ensure 'Audit client does not support signing' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207711,18.6.7.3 (L1) Ensure 'Audit insecure guest logon' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207712,18.6.7.4 (L1) Ensure 'Enable authentication rate limiter' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207713,18.6.7.5 (L1) Ensure 'Enable remote mailslots' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207714,18.6.7.6 (L1) Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207715,18.6.7.7 (L1) Ensure 'Set authentication rate limiter delay (milliseconds)' is set to 'Enabled: 2000' or more,N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207716,18.6.8.1 (L1) Ensure 'Audit insecure guest logon' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207717,18.6.8.2 (L1) Ensure 'Audit server does not support encryption' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207718,18.6.8.3 (L1) Ensure 'Audit server does not support signing' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207720,18.6.8.5 (L1) Ensure 'Enable remote mailslots' is set to 'Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207721,18.6.8.6 (L1) Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207722,18.6.8.7 (L1) Ensure 'Require Encryption' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207727,18.9.30.1.1 (L1) Ensure 'Block NetBIOS-based discovery for domain controller location' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207728,18.9.39.1 (L1) Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Block all change password RPC methods',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207729,18.9.52 (L1) Ensure 'Configure the behavior of the sudo command' is set to 'Enabled: Disabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207730,19.7.40.1 (L1) Ensure 'Turn off Windows Copilot' is set to 'Enabled',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207929,17.7.2 (L1) Ensure 'Audit Authentication Policy Change' is set to include 'Success and Failure',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207930,17.7.3 (L1) Ensure 'Audit Authorization Policy Change' is set to include 'Success and Failure',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207931,17.7.5 (L1) Ensure 'Audit Other Policy Change Events' is set to include 'Success and Failure',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207932,17.9.3 (L1) Ensure 'Audit Security State Change' is set to include 'Success and Failure',N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207937,"2.2.16 (L1) Ensure 'Deny access to this computer from the network' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207938,"2.2.17 (L1) Ensure 'Deny log on as a batch job' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207939,"2.2.18 (L1) Ensure 'Deny log on as a service' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207940,"2.2.2 (L1) Ensure 'Access this computer from the network' is set to 'Administrators, Remote Desktop Users, MDISVC$, and mdiservice'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207941,"2.2.20 (L1) Ensure 'Deny log on through Remote Desktop Services' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
1207942,"2.3.10.10 (L1) Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators, MDISVC$, and mdiservice': Remote Access: Allow'",N/A,High,,192.168.182.198,8,0,mmm.hhh.ggg\lll-WIN-EDWARD1,lll-win-edward1.mmm.hhh.ggg,,0,TCP,lll Agent
35453,Microsoft Windows Update Reboot Required,Windows,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1187734,"2.2.23 (L1) Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1187735,"2.2.24 (L1) Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207269,18.10.18.4 (L1) Ensure 'Enable App Installer Local Archive Malware Scan Override' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207314,18.10.58.2 (L1) Ensure 'Turn on Basic feed authentication over HTTP' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207349,18.6.4.1 (L1) Ensure 'Configure multicast DNS (mDNS) protocol' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207676,18.10.18.5 (L1) Ensure 'Enable App Installer Microsoft Store Source Certificate Validation Bypass' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207678,18.10.29.4 (L1) Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207681,18.10.4.2 (L1) Ensure 'Not allow per-user unsigned packages to install by default (requires explicitly allow per install)' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207709,18.6.7.1 (L1) Ensure 'Audit client does not support encryption' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207710,18.6.7.2 (L1) Ensure 'Audit client does not support signing' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207711,18.6.7.3 (L1) Ensure 'Audit insecure guest logon' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207712,18.6.7.4 (L1) Ensure 'Enable authentication rate limiter' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207713,18.6.7.5 (L1) Ensure 'Enable remote mailslots' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207714,18.6.7.6 (L1) Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207715,18.6.7.7 (L1) Ensure 'Set authentication rate limiter delay (milliseconds)' is set to 'Enabled: 2000' or more,N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207716,18.6.8.1 (L1) Ensure 'Audit insecure guest logon' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207717,18.6.8.2 (L1) Ensure 'Audit server does not support encryption' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207718,18.6.8.3 (L1) Ensure 'Audit server does not support signing' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207720,18.6.8.5 (L1) Ensure 'Enable remote mailslots' is set to 'Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207721,18.6.8.6 (L1) Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207722,18.6.8.7 (L1) Ensure 'Require Encryption' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207727,18.9.30.1.1 (L1) Ensure 'Block NetBIOS-based discovery for domain controller location' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207728,18.9.39.1 (L1) Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Block all change password RPC methods',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207729,18.9.52 (L1) Ensure 'Configure the behavior of the sudo command' is set to 'Enabled: Disabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207730,19.7.40.1 (L1) Ensure 'Turn off Windows Copilot' is set to 'Enabled',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207925,17.2.2 (L1) Ensure 'Audit Security Group Management' is set to include 'Success and Failure',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207928,17.7.1 (L1) Ensure 'Audit Audit Policy Change' is set to include 'Success and Failure',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207929,17.7.2 (L1) Ensure 'Audit Authentication Policy Change' is set to include 'Success and Failure',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207930,17.7.3 (L1) Ensure 'Audit Authorization Policy Change' is set to include 'Success and Failure',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207931,17.7.5 (L1) Ensure 'Audit Other Policy Change Events' is set to include 'Success and Failure',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207932,17.9.3 (L1) Ensure 'Audit Security State Change' is set to include 'Success and Failure',N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207937,"2.2.16 (L1) Ensure 'Deny access to this computer from the network' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207938,"2.2.17 (L1) Ensure 'Deny log on as a batch job' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207939,"2.2.18 (L1) Ensure 'Deny log on as a service' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207940,"2.2.2 (L1) Ensure 'Access this computer from the network' is set to 'Administrators, Remote Desktop Users, MDISVC$, and mdiservice'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207941,"2.2.20 (L1) Ensure 'Deny log on through Remote Desktop Services' to include 'Guests, Local account, and member of Administrators group'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
1207942,"2.3.10.10 (L1) Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators, MDISVC$, and mdiservice': Remote Access: Allow'",N/A,High,,33.44.91.87,8,0,mmm.hhh.ggg\lll-WIN-AKANDUR,lll-win-akandur.mmm.hhh.ggg,,0,TCP,lll Agent
314172,macOS 26.x < 26.5 Multiple Vulnerabilities (127115),MacOS X Local Security Checks,High,7.3,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
314356,Security Updates for Microsoft Office Products (May 2026) (macOS),MacOS X Local Security Checks,High,9,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
1202599,5.1.1 Ensure Home Folders Are Secure,N/A,High,,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
1204640,2.3.1.1 Ensure AirDrop Is Disabled When Not Actively Transferring Files,N/A,High,,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
1207822,2.5.1.1 Ensure External Intelligence Extensions Is Disabled,N/A,High,,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
1207825,2.3.3.5 Ensure Remote Management Is Disabled,N/A,High,,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
1207838,2.11.4 Ensure Login Window Displays as Name and Password Is Enabled,N/A,High,,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
1207840,2.11.2 Ensure Require Password After Screen Saver Begins or Display Is Turned Off Is Enabled for 5 Seconds or Immediately,N/A,High,,192.168.86.114,6,582,UNKNOWN\lll-MAC-SANTAN1,lll-mac-santan1.mmm.hhh.ggg,,0,TCP,lll Agent
